molecule_id,category,smiles,status,fail
20,active,Nc6nc4n(CCN3CCc2ncc(C1CC1)cc2C3)ncc4c7nc(c5ccco5)nn67,pending,0
21,active,CCN(CC)C(=O)c4cccc(c3cn2nc(c1ccco1)nc2c(N)n3)c4,pending,0
22,active,Nc4nc(c1ccco1)c3ncn(C(=O)NCc2cccs2)c3n4,pending,0
23,active,Nc5nc(c1ccccc1)c4c(=O)c3ccc(OCCN2CCCC2)cc3c4n5,pending,0
24,active,COCCOc6ccc(N5CCN(c4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5)cc6,pending,0
25,active,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(CC1CCC(CO)CC1)nc23)[C@H](O)[C@@H]4O,pending,0
26,active,CCCCn6cc4c(nc(NC(=O)Cc2ccc1ccccc1c2)n5nc(c3ccco3)nc45)n6,pending,0
27,active,COc3cccc(c2nc(Cc1ccc(C)c(C)c1)n[nH]2)c3,pending,0
28,active,CNc4ncc3n(Cc1c(F)cccc1F)c(=O)n(c2cccc(OC)c2)c3n4,pending,0
29,active,CCCOC(=O)c1c(CCO)c(C(=O)SCC)c(CC)nc1c2ccccc2,pending,0
