molecule_id,category,smiles,status,fail
60,decoy,C[C@H](C(C)C)NC(=O)C(=O)N1CCc2c1ccc(c2)S(=O)(=O)N,pending,0
61,decoy,c1ccc2=N/C(=N\S(=O)(=O)c3cccc4c3nsn4)/[C@H]([NH+]=c2c1)Nc5ccc(cc5)S(=O)(=O)N,pending,0
62,decoy,C[C@@H](C(=O)NC(=O)NC)Sc1nnc(n1N)c2ccc(cc2Cl)Cl,pending,0
63,decoy,c1cc2c(cc1[N+](=O)[O-])/C(=N/NC(=O)c3c(c(c(c(n3)Cl)Cl)N)Cl)/C(=N2)O,pending,0
64,decoy,C[C@H](c1ccncc1)NC(=O)[C@@H]2CN(CC23CC[NH2+]CC3)C(=O)c4ccc(cc4OC)OC,pending,0
65,decoy,CCOC(=O)CNC(=O)Nc1ccc(cc1)[C@H]2C(=C([NH+]=C3N2CCCS3)C)C(=O)Nc4ccccc4,pending,0
66,decoy,Cc1ccc(cc1)c2nnc(n2c3ccc(cc3)C)SCC(=O)N/N=C/c4ccc(cc4)C(=O)[O-],pending,0
67,decoy,Cc1c2c(ncn(c2=O)C)sc1C(=O)Nc3ccc(cc3)N(C)C,pending,0
68,decoy,COc1ccc(c(c1)c2cc([nH]n2)C(=O)N3CCC(CC3)C(=O)NCC(F)(F)F)OC,pending,0
69,decoy,CCN1[C@@H](CN(S1(=O)=O)c2ccc(cc2C)Cl)C[NH3+],pending,0
